Team,Number,Name,Position,Height,Weight,Year,Hometown
BC,48,Jake Wilhelm,K,"5'8""",147,So,Amherst MA
UVA,26,Anthony Calloway,RB,"5'8""",150,Fr,Lynchburg VA
FSU,15,Matthew Finn,K,"6'0""",151,So,Maitland FL
FSU,22,Emmanuel Johnson,RB,"5'5""",153,Fr,Jacksonville FL
CLEM,37,Ross Sparks,RB,"5'7""",155,So,Winnsboro SC
BC,46,E.J. Fortenberry,DB,"5'9""",157,Fr,Santa Monica CA
LOU,33,Jordan Streeter,DB,"5'9""",157,Jr,Florence KY
FSU,94,Michael Dougherty,K,"5'9""",160,So,Valrico FL
CUSE,37,Ross Krautman,K,"5'7""",160,Sr,Franklin Lakes NJ
CUSE,25,Eric Jackson,CB,"5'7""",160,Jr,Inglewood CA
MIAMI,21,Josh Johnson,WR,"5'5""",160,Fr,Jacksonville FL
CLEM,85,Seth Ryan,WR,"5'11""",160,Fr,Summit NJ
MIAMI,35,John D'Uva,WR,"5'10""",160,Jr,Ridgewood NJ
UVA,10,C.J. Moore,CB,"5'10""",160,So,Buford GA
CUSE,40,Alex Schoen,CB,"5'7""",161,So,Short Hills NJ
VT,22,Eric Kristensen,K,"5'11""",162,So,Ann Arbor MI
LOU,35,Anthony George,K,"6'1""",164,So,Louisville KY
VT,,R.J. Warfel,K,"5'10""",164,Fr,Paeonian Springs VA
UNC,40,Luke Heavner,WR,"6'1""",165,So,Jamestown NC
WAKE,18,John Armstrong,WR,"5'9""",165,So,Orlando FL
PITT,14,Avonte Maddox,DB,"5'9""",165,Fr,Detroit MI
MIAMI,49,Aaron Martinez,K,"5'8""",165,So,San Diego CA
DUKE,10,Ryan Smith,WR,"5'7""",165,So,Las Vegas NV
GT,38,Sam McNearney,RB,"5'6""",165,Sr,Atlanta GA
CLEM,21,Adrian Baker,CB,"5'11""",165,Fr,Hollywood FL
DUKE,17,Hud Mellencamp,CB,"5'11""",165,Jr,Bloomington IN
UNC,37,T.J. Jiles,CB,"5'11""",165,Jr,Cape Coral FL
DUKE,43,Danny Stirt,K,"5'10""",165,So,Gainesville FL
LOU,6,Shaq Wiggins,CB,"5'10""",165,So,Tyrone GA
UNC,19,Kedrick Davis,CB,"5'10""",165,Fr,Charlotte NC
FSU,13,Rashad Gholston,WR,"5'10""",167,Sr,Miami FL
GT,8,Andrew Chau,K,"5'10""",167,Jr,Griffin GA
GT,,Dillon Moore,K,"6'1""",168,Fr,College Station TX
FSU,27,Marquez White,DB,"6'1""",168,So,Dothan AL
LOU,81,Chris Miele,WR,"6'2""",170,Fr,Louisville KY
PITT,39,Jaquaun Davidson,WR,"6'2""",170,Fr,Elizabeth PA
DUKE,82,Chris Taylor,WR,"6'1""",170,Fr,Miramar FL
BC,20,Isaac Yiadom,DB,"6'1""",170,Fr,Worcester MA
